"Geschäftsnummer","Ausstellungsdatum","Bestimmungs-/Lieferland","Position / Güterart","Position / EKN","Position / Wert [CHF]"
8000002,07.02.2014,"China, Volksrepublik","Dual Use Güter","2B120",1950000
8000004,11.02.2014,"Russische Föderation","Dual Use Güter","6A002.c1",2098305
8000009,14.02.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.b1
2B201.a1",209609
8000012,14.02.2014,"Slowenien","Besondere militärische Güter","ML15",128000
8000010,14.02.2014,"Hongkong","Dual Use Güter","6A002.c1",43188
8000013,17.02.2014,"Singapur","Dual Use Güter","2B350.d3",94988.4
8000016,18.02.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.B2
2B201.A1",365990
8000015,21.02.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",270576
8000026,25.02.2014,"Tunesien","Besondere militärische Güter","ML10.f",13200
8000024,27.02.2014,"Deutschland","Besondere militärische Güter","ML10.c2",3740
8000025,27.02.2014,"Indien","Besondere militärische Güter","ML10.c2",24200
8000025,27.02.2014,"Indien","Besondere militärische Güter","ML10.c2",181500
8000025,27.02.2014,"Indien","Besondere militärische Güter","ML10.c2",296680
8000031,03.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a",232528
8000028,04.03.2014,"Malta","National kontrollierte Güter","5.1",1575
8000029,04.03.2014,"Hongkong","National kontrollierte Güter","5.1",9120
8000033,04.03.2014,"Thailand","Dual Use Güter","6A002.a2a",120000
8000034,04.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",227801
8000035,05.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",121241
8000037,06.03.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",88796.8
8000040,07.03.2014,"China, Volksrepublik","Dual Use Güter","2B001.b2",232193
8000041,10.03.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",377760
8000042,10.03.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.B2
2B201.a",360282
8000044,10.03.2014,"Hongkong","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",357983
8000045,10.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",349735
8000046,13.03.2014,"Vereinigte Staaten von Amerika","Besondere militärische Güter","ML05.b",34515.38
8000049,14.03.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",203594
8000049,14.03.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",203594
8000053,19.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",322998
8000052,19.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.B2
2B201.a1",1992310
8000054,20.03.2014,"China, Volksrepublik","Dual Use Güter","2E002",1288000
8000061,25.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B201
2B001",2612397
8000062,25.03.2014,"Thailand","National kontrollierte Güter","5.1",6474
8000062,25.03.2014,"Thailand","National kontrollierte Güter","5.1",3690
8000063,25.03.2014,"Vietnam","Dual Use Güter","2B201.a1",869962
8000064,25.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.B2
2B201.a",339864
8000065,27.03.2014,"Südafrika","Besondere militärische Güter","ML04",11143
8000066,27.03.2014,"Italien","Besondere militärische Güter","ML04",43505.2
8000066,27.03.2014,"Italien","Besondere militärische Güter","ML04",46360
8000067,28.03.2014,"Russische Föderation","Dual Use Güter","7B003",313184
8000068,31.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",308562
8000071,01.04.2014,"Brasilien","Dual Use Güter","1C351",304.24
8000071,01.04.2014,"Brasilien","Dual Use Güter","1C351",304.24
8000071,01.04.2014,"Brasilien","Dual Use Güter","1C351",304.24
8000071,01.04.2014,"Brasilien","Dual Use Güter","1C351",304.24
8000072,02.04.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",611620
8000073,02.04.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",611620
8000074,02.04.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",611620
8000076,02.04.2014,"Israel","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",12500
8000076,02.04.2014,"Israel","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",4900
8000076,02.04.2014,"Israel","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",14100
8000076,02.04.2014,"Israel","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",3750
8000076,02.04.2014,"Israel","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",30000
8000077,03.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",235765
8000081,03.04.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",222131
8000082,04.04.2014,"Indien","Dual Use Güter
Dual Use Güter","2B201.a1
2B001.b1",14205
8000075,04.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.a
2B001.a",225944
8000083,04.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",234309
8000084,04.04.2014,"Indien","Dual Use Güter","1C351",201.6
8000084,04.04.2014,"Indien","Dual Use Güter","1C351",201.58
8000084,04.04.2014,"Indien","Dual Use Güter","1C351",201.6
8000084,04.04.2014,"Indien","Dual Use Güter","1C351",201.6
8000089,08.04.2014,"Brasilien","Dual Use Güter","2B201.a.1",177094
8000090,08.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B201.a.1
2B001.b.2",206126
8000092,09.04.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",241216
8000103,17.04.2014,"Kuwait","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",650
8000103,17.04.2014,"Kuwait","Besondere militärische Güter","ML03",3000
8000106,23.04.2014,"Brasilien","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",192661
8000108,23.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",259129
8000109,23.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",316255
8000110,23.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",316255
8000111,23.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",316255
8000112,23.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",316255
8000113,23.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",316255
8000114,23.04.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",316255
8000107,28.04.2014,"Mexiko","National kontrollierte Güter","5.2",150
8000120,30.04.2014,"Tunesien","Besondere militärische Güter","ML10.f",4690
8000121,30.04.2014,"Saudi-Arabien","Besondere militärische Güter","ML04.c",61000
8000130,05.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",259606
8000131,05.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",210849
8000132,05.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",210849
8000140,06.05.2014,"China, Volksrepublik","Dual Use Güter","2B201.a.1",199093
8000140,06.05.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",199093
8000129,06.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",404763
8000144,07.05.2014,"Indonesien","Dual Use Güter","6A002.c1",22459
8000146,13.05.2014,"Vietnam","Dual Use Güter","2B201.a.1",159702
8000147,13.05.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",188758
8000150,13.05.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",190845
8000149,14.05.2014,"Tunesien","National kontrollierte Güter","5.1",1880
8000151,14.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",365436
8000151,14.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",365436
8000151,14.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",365436
8000151,14.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",365436
8000152,14.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",219438
8000153,14.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",1900488
8000155,14.05.2014,"Thailand","Dual Use Güter","6A002.c1",336908
8000160,19.05.2014,"Brasilien","Dual Use Güter","2b201.a1",180118
8000162,19.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",1913808
8000163,19.05.2014,"Brasilien","Dual Use Güter","2b201.a1",173872
8000164,20.05.2014,"Frankreich","National kontrollierte Güter","5.1",1950
8000157,20.05.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",229118
8000165,20.05.2014,"Indien","Besondere militärische Güter","ML10.c2",12100
8000167,23.05.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",2050
8000167,23.05.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",2080
8000176,26.05.2014,"Deutschland","Besondere militärische Güter","ML05",11095
8000173,27.05.2014,"Qatar","National kontrollierte Güter","5.1",4095
8000173,27.05.2014,"Qatar","National kontrollierte Güter","5.1",3055
8000122,27.05.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B120
7B003",1082421
8000123,27.05.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","7B003
2B120",1134000
8000123,27.05.2014,"Russische Föderation","Dual Use Güter","7B003",141390
8000184,05.06.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",200062
8000184,05.06.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",203741
8000184,05.06.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",200062
8000184,05.06.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",200062
8000184,05.06.2014,"China, Volksrepublik","Dual Use Güter","2b201.a1",200062
8000190,06.06.2014,"Malta","Dual Use Güter","6A002.c1",36550
8000190,06.06.2014,"Malta","Dual Use Güter","6A002.c1",44175
8000189,06.06.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",275605
8000187,06.06.2014,"Thailand","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",218667
8000181,06.06.2014,"Niederlande","Nukleargüter","0B001",121000
8000192,11.06.2014,"Deutschland","Nukleargüter","0B001",24500
8000198,12.06.2014,"Deutschland","Besondere militärische Güter","ML03",50
8000202,12.06.2014,"Oman","Dual Use Güter","6A002.c1",343800
8000205,13.06.2014,"China, Volksrepublik","Dual Use Güter","6a002.c1",487620
8000207,16.06.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",619568
8000206,16.06.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",175425
8000211,18.06.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",326858
8000204,20.06.2014,"Vereinigte Arabische Emirate","Besondere militärische Güter
Besondere militärische Güter","ML01.d
ML01.d",5500
8000204,20.06.2014,"Vereinigte Arabische Emirate","Besondere militärische Güter
Besondere militärische Güter","ML01.d
ML01.d",3200
8000215,23.06.2014,"Malta","Dual Use Güter","6A002.c1",61250
8000215,23.06.2014,"Malta","Dual Use Güter","6A002.c1",88350
8000216,24.06.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",323362
8000217,24.06.2014,"Vereinigte Arabische Emirate","Besondere militärische Güter","ML01.d",3200
8000212,25.06.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B120
7B003",605500
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",10000
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",770
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",2870
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",1260
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",4210
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",565
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",900
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",1800
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",435
8000209,25.06.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",2120
8000209,25.06.2014,"Saudi-Arabien","Besondere militärische Güter","ML01.d",440
8000220,01.07.2014,"Island","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",200
8000220,01.07.2014,"Island","Besondere militärische Güter","ML03",600
8000219,01.07.2014,"Bosnien-Herzegowina","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",7000
8000223,01.07.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",323362
8000224,01.07.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",323362
8000225,01.07.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",323362
8000222,01.07.2014,"Vereinigte Arabische Emirate","Besondere militärische Güter
Besondere militärische Güter","ML01
ML01",4800
8000226,01.07.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",1674860
8000231,03.07.2014,"Kasachstan","Dual Use Güter","6A002.c1",21554
8000231,03.07.2014,"Kasachstan","Dual Use Güter","6a002.c1",19037
8000229,04.07.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","7B003
2B120",505000
8000227,07.07.2014,"Niederlande","Nukleargüter","0B001",50000
8000234,10.07.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",358387
8000235,10.07.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",323362
8000246,22.07.2014,"Ägypten","Dual Use Güter","2B350.d3",81584
8000253,22.07.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",5963.75
8000256,23.07.2014,"Malta","Dual Use Güter","6a002.c1",5400
8000256,23.07.2014,"Malta","Dual Use Güter","6A002.c1",30600
8000257,23.07.2014,"Brasilien","Dual Use Güter","6A002.c1",170397
8000254,23.07.2014,"Deutschland","Besondere militärische Güter","ML04",6074
8000258,24.07.2014,"Vereinigte Staaten von Amerika","Besondere militärische Güter","ML05",30200
8000250,25.07.2014,"Vereinigte Staaten von Amerika","Nukleargüter","0B001",23500
8000264,28.07.2014,"Indien","Besondere militärische Güter","ML10.c.2",296680
8000265,30.07.2014,"Macao","Besondere militärische Güter","ML03.a",16500
8000265,30.07.2014,"Macao","Besondere militärische Güter","ML03.a",1000
8000267,30.07.2014,"Kasachstan","Dual Use Güter","6a002.c1",10305
8000267,30.07.2014,"Kasachstan","Dual Use Güter","6A002.c1",8157
8000267,30.07.2014,"Kasachstan","Dual Use Güter","6A002.c1",18650
8000261,30.07.2014,"China, Volksrepublik","National kontrollierte Güter","5.1",29234.5
8000261,30.07.2014,"China, Volksrepublik","National kontrollierte Güter","5.1",51400.8
8000261,30.07.2014,"China, Volksrepublik","National kontrollierte Güter","5.1",217282.25
8000261,30.07.2014,"China, Volksrepublik","National kontrollierte Güter","5.1",133517
8000255,04.08.2014,"China, Volksrepublik","Dual Use Güter","2B120",33950
8000279,07.08.2014,"Brasilien","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",248656
8000275,07.08.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",521434
8000276,07.08.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",435936
8000280,08.08.2014,"Frankreich","Besondere militärische Güter","ML10.c2",6865
8000283,08.08.2014,"China, Volksrepublik","Dual Use Güter","2B001.b2",243133
8000285,11.08.2014,"Indien","Dual Use Güter
Dual Use Güter","2B201
2B001",1942960
8000293,14.08.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",374080
8000297,20.08.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",318226
8000286,21.08.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","7B003
2B120",435000
8000286,21.08.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","7B003
2B120",821000
8000286,21.08.2014,"China, Volksrepublik","Dual Use Güter","7B003",167000
8000286,21.08.2014,"China, Volksrepublik","Dual Use Güter","7B003",198000
8000286,21.08.2014,"China, Volksrepublik","Dual Use Güter","7B003",215000
8000292,26.08.2014,"Oman","Besondere militärische Güter","ML03",3600
8000251,29.08.2014,"Russische Föderation","Dual Use Güter","2B120",29000
8000302,30.08.2014,"Frankreich","Besondere militärische Güter","ML10.c2",2100
8000308,01.09.2014,"Brasilien","Besondere militärische Güter
Besondere militärische Güter","ML03
ML03",250
8000308,01.09.2014,"Brasilien","Besondere militärische Güter","ML03",3000
8000315,04.09.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",87194
8000316,05.09.2014,"Kuwait","National kontrollierte Güter","5.1",4662
8000317,05.09.2014,"Litauen","National kontrollierte Güter","5.1",1415.7
8000317,05.09.2014,"Litauen","National kontrollierte Güter","5.1",922
8000319,08.09.2014,"China, Volksrepublik","Dual Use Güter","2B001.b2",215952.95
8000321,09.09.2014,"China, Volksrepublik","Dual Use Güter","6A002.c1",801407.2
8000321,09.09.2014,"China, Volksrepublik","Dual Use Güter","6A002.c1",466701.8
8000321,09.09.2014,"China, Volksrepublik","Dual Use Güter","6A002.c1",1018258.6
8000321,09.09.2014,"China, Volksrepublik","Dual Use Güter","6A002.c1",306420.4
8000322,09.09.2014,"China, Volksrepublik","Dual Use Güter","6A002.c1",1639671
8000322,09.09.2014,"China, Volksrepublik","Dual Use Güter","6A002.c1",1022972.7
8000324,09.09.2014,"China, Volksrepublik","Dual Use Güter","2B001.b2",212683.45
8000327,12.09.2014,"Russische Föderation","Dual Use Güter","2B350.d3",37253.92
8000330,16.09.2014,"Malta","Dual Use Güter","6A002.c1",18434.2
8000330,16.09.2014,"Malta","Dual Use Güter","6A002.c1",8174
8000330,16.09.2014,"Malta","Dual Use Güter","6A002.c1",29963.2
8000331,17.09.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",322004
8000333,17.09.2014,"Israel","Dual Use Güter","6A002.c1",59483.2
8000343,24.09.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",340976.91
8000344,25.09.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",339569.94
8000345,25.09.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",343402
8000329,29.09.2014,"Israel","National kontrollierte Güter","5.1",2730
8000346,29.09.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b.2
2B201.a.1",340204
8000289,30.09.2014,"Hongkong","Dual Use Güter
Dual Use Güter","2B201.a1
2B001.b",369673
8000349,30.09.2014,"Frankreich","Besondere militärische Güter","ML10",5610
8000362,01.10.2014,"Russische Föderation","Dual Use Güter","2B350",3500
8000362,01.10.2014,"Russische Föderation","Dual Use Güter","2B350",14500
8000358,01.10.2014,"China, Taiwan","Dual Use Güter","2B201",315000
8000355,01.10.2014,"China, Volksrepublik","Dual Use Güter","2B201",635000
8000360,01.10.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B001
2B201",1350000
8000341,01.10.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",83431.7
8000347,01.10.2014,"Israel","Dual Use Güter
Dual Use Güter","7B003
2B120",482850
8000369,01.10.2014,"Kanada","National kontrollierte Güter","5.1",900
8000368,01.10.2014,"Israel","Dual Use Güter","2B201",207000
8000367,02.10.2014,"Indonesien","Dual Use Güter","2B001.b2",242093
8000370,02.10.2014,"Ägypten","Dual Use Güter","2B001.a",105432.55
8000375,03.10.2014,"Russische Föderation","Dual Use Güter","2B350.d3",3000
8000375,03.10.2014,"Russische Föderation","Dual Use Güter","2B350.g3",16000
8000374,03.10.2014,"Russische Föderation","Dual Use Güter","2B001",190766
8000381,06.10.2014,"Saudi-Arabien","Nukleargüter","0C003",8353.25
8000387,06.10.2014,"Chile","Dual Use Güter","5A002.a1a",17122
8000383,07.10.2014,"Russische Föderation","Dual Use Güter","2B001",190539
8000383,07.10.2014,"Russische Föderation","Dual Use Güter","2B001",313238.95
8000388,07.10.2014,"Vereinigte Arabische Emirate","Dual Use Güter","6A005.A6.B2",757702
8000395,08.10.2014,"Tschechische Republik","Dual Use Güter","2B201.b",162000
8000359,08.10.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.c
2B201.b",1850000
8000407,08.10.2014,"Israel","Dual Use Güter","2B350.g2",3800
8000398,08.10.2014,"Singapur","National kontrollierte Güter","5.1",3890.25
8000398,08.10.2014,"Singapur","National kontrollierte Güter","5.1",4290
8000398,08.10.2014,"Singapur","National kontrollierte Güter","5.1",2990
8000262,08.10.2014,"Indien","Dual Use Güter","1C351",288
8000262,08.10.2014,"Indien","Dual Use Güter","1C351",288
8000262,08.10.2014,"Indien","Dual Use Güter","1C351",288
8000262,08.10.2014,"Indien","Dual Use Güter","1C351",288
8000380,08.10.2014,"China, Volksrepublik","Dual Use Güter","6A005",360000
8000393,08.10.2014,"Jordanien","Dual Use Güter","5A002.a1a",7417600
8000401,08.10.2014,"Russische Föderation","Dual Use Güter","6A005.a6b2",200000
8000404,08.10.2014,"Indonesien","Dual Use Güter","3A001.A2C",110580
8000420,08.10.2014,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter","3B.14
1C350.9",11292
8000418,09.10.2014,"China, Taiwan","Dual Use Güter","2B201.b",247500
8000402,09.10.2014,"Israel","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",343200
8000431,10.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.A5A2",19650
8000432,10.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.A2C",578250
8000397,13.10.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",636731
8000445,13.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.A5A4",13210
8000446,13.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.A2C",269900
8000447,13.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.A2C",176500
8000448,13.10.2014,"Hongkong","Dual Use Güter","3A001.A2C",93650
8000451,13.10.2014,"Spanien","Besondere militärische Güter","ML10.c2",2750
8000399,13.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.g2",82998
8000449,13.10.2014,"Russische Föderation","Dual Use Güter","3A001.a7a",4300
8000450,13.10.2014,"Qatar","National kontrollierte Güter","5.1",158297
8000363,14.10.2014,"Russische Föderation","Dual Use Güter","2B120",29000
8000442,14.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",341539.3
8000443,14.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",229463
8000443,14.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",273193
8000453,14.10.2014,"Grossbritannien","Besondere militärische Güter","ML18.a",636648
8000424,14.10.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B001.c
2B201.b1",676000
8000460,14.10.2014,"China, Taiwan","Dual Use Güter","6A005.a6b2",575721
8000455,14.10.2014,"Israel","Dual Use Güter","6A005.A6.A",28875
